region,date_locality,unique,sample,depth,interval_no,min,median,predicted_age_BP,max,predicted_age_AD_BC,perc_2.5,perc_25,perc_50,perc_75,perc_97.5,predicted_age_median,predicted_age_BP_median
Gulf of Panama,Contadora,BF18-1-11-2.5,BF18-1-11,2.5,1,-68,-68,-67.287,-65,2017.287,NA,NA,NA,NA,NA,2018,-68
Gulf of Panama,Contadora,BF18-1-11-7.5,BF18-1-11,7.5,2,-67,-65,-63.864,-46.975,2013.864,1,1,2,3,18.025,2015,-65
Gulf of Panama,Contadora,BF18-1-11-12.5,BF18-1-11,12.5,3,-66,-62,-48.791,51.025,1998.791,1,2,3,16,94.075,2012,-62
Gulf of Panama,Contadora,BF18-1-11-17.5,BF18-1-11,17.5,4,-54,-11,0.645,106,1949.355,9,24,41,67,141.15,1961,-11
Gulf of Panama,Contadora,BF18-1-11-22.5,BF18-1-11,22.5,5,-40,37,41.672,135,1908.328,7.975,22,36,53,106,1913,37
Gulf of Panama,Contadora,BF18-1-11-27.5,BF18-1-11,27.5,6,-19.025,84,80.069,156,1869.931,8,20,32,50.25,102.025,1866,84
Gulf of Panama,Contadora,BF18-1-11-32.5,BF18-1-11,32.5,7,15,130,119.184,170,1830.816,8,21,34,51,103.025,1820,130
Gulf of Panama,Contadora,BF18-1-11-37.5,BF18-1-11,37.5,8,105.95,177,169.881,186,1780.119,8,24,41,69,148,1773,177
Gulf of Panama,Contadora,BF18-1-11-42.5,BF18-1-11,42.5,9,178,183,184.156,195,1765.844,1,3,7,16,81.025,1767,183
Gulf of Panama,Contadora,BF18-1-11-47.5,BF18-1-11,47.5,10,180,187,187.708,199,1762.292,1,2,3,4,10,1763,187
Gulf of Panama,Contadora,BF18-1-11-52.5,BF18-1-11,52.5,11,182,191,190.967,201,1759.033,0.975,2,3,4,10,1759,191
Gulf of Panama,Contadora,BF18-1-11-57.5,BF18-1-11,57.5,12,184,195,194.193,203,1755.807,1,2,3,4,10,1755,195
Gulf of Panama,Contadora,BF18-1-11-63,BF18-1-11,63,13,188,199,197.961,205,1752.039,1,2,3,5,10,1751,199
Gulf of Panama,Contadora,BF18-1-11-68.5,BF18-1-11,68.5,14,196,204,203.515,208,1746.485,1,3,4,8,14.025,1746,204
Gulf of Panama,Contadora,BF18-1-11-73.5,BF18-1-11,73.5,15,206,210,209.991,218,1740.009,1,4,6,8,16,1740,210
Gulf of Panama,Contadora,BF18-1-11-78.5,BF18-1-11,78.5,16,211,216,216.564,225,1733.436,2,4,6,8,15,1734,216
Gulf of Panama,Contadora,BF18-1-11-83.5,BF18-1-11,83.5,17,214,222,221.83,228,1728.17,1,3,5,6,11,1728,222
Gulf of Panama,Contadora,BF18-1-11-88.5,BF18-1-11,88.5,18,220,231,279.553,608.225,1670.447,2,5,11,60.25,384.2,1719,231
Gulf of Panama,Contadora,BF18-1-11-93.5,BF18-1-11,93.5,19,272.975,470,520.926,1025.025,1429.074,41.975,118,198.5,317.25,682.1,1480,470
