basin,region,site_name,sample,depth,unique,abr_tot,defense,drag,gen_func,rabr_tot,unknown,abr_pel,rabr_pel,total_dd_count,group,age_group
Pacific,Gulf of Panama,Contadora,BF18-1-11,10,BF18-1-11-10,1,0,4,0,2,0,0,2,7,1,modern
Pacific,Gulf of Panama,Contadora,BF18-1-11,15,BF18-1-11-15,1,0,9,4,3,2,1,2,19,1,modern
Pacific,Gulf of Panama,Contadora,BF18-1-11,25,BF18-1-11-25,2,0,11,2,1,1,0,1,17,2,modern
Pacific,Gulf of Panama,Contadora,BF18-1-11,191,BF18-1-11-191,2,0,10,0,12,1,2,7,25,3,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-11,221,BF18-1-11-221,0,0,15,4,8,1,0,1,28,4,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-11,266,BF18-1-11-266,4,0,15,0,6,3,4,4,28,5,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-11,311,BF18-1-11-311,2,0,11,1,8,0,1,3,22,6,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-11,326,BF18-1-11-326,7,0,4,1,4,1,4,2,17,7,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-11,346,BF18-1-11-346,3,0,10,2,2,1,2,2,18,8,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-11,356,BF18-1-11-356,4,0,15,4,6,2,1,4,31,9,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-12,15,BF18-1-12-15,1,0,2,0,1,0,0,1,4,1,modern
Pacific,Gulf of Panama,Contadora,BF18-1-12,25,BF18-1-12-25,0,0,1,1,0,0,0,0,2,1,modern
Pacific,Gulf of Panama,Contadora,BF18-1-12,40,BF18-1-12-40,1,0,7,1,2,0,0,1,11,2,modern
Pacific,Gulf of Panama,Contadora,BF18-1-12,45,BF18-1-12-45,0,0,5,1,2,2,0,1,10,3,modern
Pacific,Gulf of Panama,Contadora,BF18-1-12,224,BF18-1-12-224,3,1,10,3,9,2,0,5,28,4,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-12,234,BF18-1-12-234,4,0,7,0,5,4,3,2,20,5,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-12,239,BF18-1-12-239,2,0,12,4,9,7,1,6,34,6,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-13,10,BF18-1-13-10,3,0,0,1,2,1,1,1,7,1,modern
Pacific,Gulf of Panama,Contadora,BF18-1-13,15,BF18-1-13-15,3,0,1,1,0,0,2,0,5,1,modern
Pacific,Gulf of Panama,Contadora,BF18-1-13,25,BF18-1-13-25,0,0,3,1,2,0,0,2,6,2,modern
Pacific,Gulf of Panama,Contadora,BF18-1-13,180,BF18-1-13-180,2,0,14,3,6,2,2,5,27,3,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,2,1,14,2,4,2,1,0,25,4,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-13,235,BF18-1-13-235,3,0,19,8,7,5,3,4,42,5,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-13,250,BF18-1-13-250,1,0,8,2,3,1,0,1,15,6,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-13,255,BF18-1-13-255,3,0,5,4,4,0,2,1,16,7,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-13,270,BF18-1-13-270,6,0,6,4,7,1,2,3,24,8,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,4,0,15,1,8,1,1,2,29,9,pre_exp
Pacific,Gulf of Panama,Contadora,BF18-1-13,286,BF18-1-13-286,2,0,8,5,4,0,0,2,19,10,pre_exp
Pacific,Gulf of Panama,Saboga,AT19-1-1,10,AT19-1-1-10,0,0,2,1,1,0,0,0,4,1,modern
Pacific,Gulf of Panama,Saboga,AT19-1-1,15,AT19-1-1-15,0,0,1,0,0,0,0,0,1,1,modern
Pacific,Gulf of Panama,Saboga,AT19-1-1,25,AT19-1-1-25,0,0,2,1,1,0,0,0,4,1,modern
Pacific,Gulf of Panama,Saboga,AT19-1-1,30,AT19-1-1-30,1,0,4,2,1,1,1,1,9,2,modern
Pacific,Gulf of Panama,Saboga,AT19-1-1,40,AT19-1-1-40,0,0,4,6,5,0,0,4,15,3,modern
Pacific,Gulf of Panama,Saboga,AT19-1-1,45,AT19-1-1-45,0,0,5,2,2,1,0,1,10,4,modern
Pacific,Gulf of Panama,Saboga,AT19-1-1,220,AT19-1-1-220,1,0,1,0,0,0,0,0,2,5,pre_exp
Pacific,Gulf of Panama,Saboga,AT19-1-1,255,AT19-1-1-255,1,0,3,1,2,0,1,0,7,5,pre_exp
Pacific,Gulf of Panama,Saboga,AT19-1-1,300,AT19-1-1-300,0,0,2,1,2,1,0,2,6,6,pre_exp
Pacific,Gulf of Panama,Saboga,AT19-1-1,310,AT19-1-1-310,1,0,0,0,1,0,0,1,2,6,pre_exp
Pacific,Gulf of Panama,Saboga,AT19-1-1,330,AT19-1-1-330,0,0,0,0,1,2,0,1,3,7,pre_exp
Pacific,Gulf of Panama,Saboga,AT19-1-1,340,AT19-1-1-340,1,0,4,0,3,0,1,1,8,7,pre_exp
Pacific,Gulf of Panama,Saboga,AT19-1-1,345,AT19-1-1-345,1,0,3,0,3,2,1,3,9,8,pre_exp
Pacific,Gulf of Panama,Saboga,AT19-1-2,10,AT19-1-2-10,0,0,1,0,0,0,0,0,1,1,modern
Pacific,Gulf of Panama,Saboga,AT19-1-2,15,AT19-1-2-15,0,0,1,0,0,0,0,0,1,1,modern
Pacific,Gulf of Panama,Saboga,AT19-1-2,25,AT19-1-2-25,0,0,3,1,0,0,0,0,4,1,modern
Pacific,Gulf of Panama,Saboga,AT19-1-2,30,AT19-1-2-30,0,0,2,0,3,0,0,3,5,1,modern
Pacific,Gulf of Panama,Saboga,AT19-1-2,40,AT19-1-2-40,0,0,5,0,1,0,0,0,6,2,modern
Pacific,Gulf of Panama,Saboga,AT19-1-2,55,AT19-1-2-55,0,0,8,5,3,0,0,2,16,2,modern
Pacific,Gulf of Panama,Saboga,AT19-1-2,75,AT19-1-2-75,2,0,8,0,2,0,2,0,12,3,modern
Pacific,Gulf of Panama,Saboga,AT19-1-2,280,AT19-1-2-280,0,1,3,0,0,1,0,0,5,4,pre_exp
Pacific,Gulf of Panama,Saboga,AT19-1-2,330,AT19-1-2-330,1,0,2,1,4,0,0,1,8,5,pre_exp
Pacific,Gulf of Panama,Saboga,AT19-1-2,340,AT19-1-2-340,2,0,1,0,3,0,0,2,6,5,pre_exp
Pacific,Gulf of Panama,Saboga,AT19-1-3,10,AT19-1-3-10,0,0,1,1,1,0,0,1,3,1,modern
Pacific,Gulf of Panama,Saboga,AT19-1-3,15,AT19-1-3-15,0,0,3,0,0,1,0,0,4,1,modern
Pacific,Gulf of Panama,Saboga,AT19-1-3,220,AT19-1-3-220,0,0,3,2,0,0,0,0,5,2,pre_exp
Pacific,Gulf of Panama,Saboga,AT19-1-3,240,AT19-1-3-240,1,0,7,1,1,0,1,0,10,2,pre_exp
Pacific,Gulf of Panama,Saboga,AT19-1-3,370,AT19-1-3-370,1,0,7,0,2,1,1,2,11,3,pre_exp
Pacific,Gulf of Panama,Isla Iguana,JC22-2-1,45,JC22-2-1-45,0,0,1,0,0,0,0,0,1,1,modern
Pacific,Gulf of Panama,Isla Iguana,JC22-2-1,55,JC22-2-1-55,0,0,1,0,1,0,0,1,2,1,modern
Pacific,Gulf of Panama,Isla Iguana,JC22-2-1,60,JC22-2-1-60,0,0,9,4,5,0,0,5,18,1,modern
Pacific,Gulf of Panama,Isla Iguana,JC22-2-1,70,JC22-2-1-70,1,0,11,2,7,0,0,7,21,2,modern
Pacific,Gulf of Panama,Isla Iguana,JC22-2-1,75,JC22-2-1-75,3,0,7,0,9,2,3,9,21,3,modern
Pacific,Gulf of Panama,Isla Iguana,JC22-2-1,85,JC22-2-1-85,11,1,29,5,7,2,8,6,55,4,modern
Pacific,Gulf of Panama,Isla Iguana,JC22-2-1,90,JC22-2-1-90,8,1,39,10,12,24,7,12,94,5,modern
Pacific,Gulf of Panama,Isla Iguana,JC22-2-1,165,JC22-2-1-165,5,0,29,7,12,8,4,12,61,6,pre_exp
Pacific,Gulf of Panama,Isla Iguana,JC22-2-1,190,JC22-2-1-190,8,0,29,11,10,5,7,10,63,7,pre_exp
Pacific,Gulf of Panama,Isla Iguana,JC22-2-1,195,JC22-2-1-195,4,0,42,6,17,0,1,17,69,8,pre_exp
Pacific,Gulf of Panama,Isla Iguana,JC22-2-1,205,JC22-2-1-205,4,0,64,16,23,1,0,19,108,9,pre_exp
Pacific,Gulf of Panama,Isla Iguana,JC22-2-1,212,JC22-2-1-212,0,1,77,15,26,0,0,22,119,10,pre_exp
Pacific,Gulf of Panama,Isla Iguana,JC22-2-2,40,JC22-2-2-40,0,0,3,1,0,0,0,0,4,1,modern
Pacific,Gulf of Panama,Isla Iguana,JC22-2-2,45,JC22-2-2-45,0,0,1,0,0,0,0,0,1,1,modern
Pacific,Gulf of Panama,Isla Iguana,JC22-2-2,55,JC22-2-2-55,1,0,3,0,4,0,0,3,8,1,modern
Pacific,Gulf of Panama,Isla Iguana,JC22-2-2,60,JC22-2-2-60,0,0,6,1,4,0,0,3,11,2,modern
Pacific,Gulf of Panama,Isla Iguana,JC22-2-2,135,JC22-2-2-135,17,0,31,8,23,0,14,20,81,3,pre_exp
Pacific,Gulf of Panama,Isla Iguana,JC22-2-3,30,JC22-2-3-30,0,0,3,0,1,0,0,0,4,1,modern
Pacific,Gulf of Panama,Isla Iguana,JC22-2-3,147,JC22-2-3-147,9,0,65,13,21,1,4,18,109,2,pre_exp
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,.,AT14-1-1,5,0,0,0,4,0,0,0,9,1,modern
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,.,AT14-1-2,14,0,9,8,7,1,1,0,39,2,modern
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,.,AT14-1-3,6,2,5,2,3,0,0,1,18,3,modern
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,.,AT14-1-5,3,0,3,0,2,0,0,0,8,4,modern
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,.,AT14-1-7,13,0,11,2,9,0,0,1,35,5,modern
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,.,AT14-1-8,5,0,6,2,7,0,1,3,20,6,modern
Caribbean,Bocas del Toro,Punta Donato,AT14-2,.,AT14-2-1,12,0,2,3,11,0,1,2,28,1,modern
Caribbean,Bocas del Toro,Punta Donato,AT14-2,.,AT14-2-2,6,0,15,2,7,0,2,2,30,2,modern
Caribbean,Bocas del Toro,Punta Donato,AT14-2,.,AT14-2-4,5,0,3,5,4,0,0,1,17,3,modern
Caribbean,Bocas del Toro,Punta Donato,AT14-2,.,AT14-2-5,31,1,11,3,27,0,3,2,73,4,modern
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,.,AT14-3-1,14,0,3,1,10,0,0,0,28,1,modern
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,.,AT14-3-2,6,0,1,0,5,1,0,0,13,2,modern
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,.,AT14-3-3,6,0,3,1,1,1,0,0,12,3,modern
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,.,AT14-3-4,7,0,2,0,9,0,1,0,18,4,modern
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,.,AT14-3-5,10,0,1,0,3,1,1,0,15,5,modern
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,.,AT14-3-6,17,1,0,0,8,0,0,0,26,6,modern
Caribbean,Bocas del Toro,Airport Point,AT14-4,.,AT14-4-1,6,0,11,2,12,1,.,.,32,1,modern
Caribbean,Bocas del Toro,Airport Point,AT14-4,.,AT14-4-2,6,0,9,1,16,0,.,.,32,2,modern
Caribbean,Bocas del Toro,Airport Point,AT14-4,.,AT14-4-3,6,1,7,1,12,0,.,.,27,3,modern
Caribbean,Bocas del Toro,Airport Point,AT14-4,.,AT14-4-4,6,0,11,5,10,0,.,.,32,4,modern
Caribbean,Bocas del Toro,Airport Point,AT14-4,.,AT14-4-5,4,0,2,0,9,0,.,.,15,5,modern
Caribbean,Bocas del Toro,Airport Point,AT14-4,.,AT14-4-6,12,1,22,3,6,0,.,.,44,6,modern
Caribbean,Bocas del Toro,Sweet Bocas,AT14-5,.,AT14-5-1,4,0,1,2,2,0,0,0,9,1,pre_exp
Caribbean,Bocas del Toro,Sweet Bocas,AT14-5,.,AT14-5-2,3,0,7,1,0,0,0,0,11,2,pre_exp
Caribbean,Bocas del Toro,Sweet Bocas,AT14-5,.,AT14-5-3,6,0,11,4,2,0,0,0,23,3,pre_exp
Caribbean,Bocas del Toro,Sweet Bocas,AT14-6,.,AT14-6-1,0,0,3,0,1,0,0,0,4,1,pre_exp
Caribbean,Bocas del Toro,Sweet Bocas,AT14-6,.,AT14-6-2,1,0,1,0,1,0,0,0,3,2,pre_exp
Caribbean,Bocas del Toro,Sweet Bocas,AT14-6,.,AT14-6-3,1,0,0,1,1,0,0,0,3,2,pre_exp
Caribbean,Bocas del Toro,Sweet Bocas,AT14-7,.,AT14-7-1,7,1,0,0,8,0,1,0,16,1,pre_exp
Caribbean,Bocas del Toro,Sweet Bocas,AT14-7,.,AT14-7-2,0,0,4,0,2,0,0,0,6,2,pre_exp
Caribbean,Bocas del Toro,Sweet Bocas,AT14-7,.,AT14-7-3,3,0,2,1,6,0,0,1,12,3,pre_exp
Caribbean,Bocas del Toro,Sweet Bocas,AT14-9,.,AT14-9-1,6,0,5,1,4,0,1,0,16,1,pre_exp
Caribbean,Bocas del Toro,Sweet Bocas,AT14-9,.,AT14-9-2,4,0,3,2,4,0,1,1,13,2,pre_exp
Caribbean,Bocas del Toro,Sweet Bocas,AT14-9,.,AT14-9-3,4,0,7,2,4,0,0,2,17,3,pre_exp
Caribbean,Bocas del Toro,Sweet Bocas,AT14-10,.,AT14-10-1,11,0,0,0,5,0,1,1,16,1,pre_exp
Caribbean,Bocas del Toro,Sweet Bocas,AT14-10,.,AT14-10-2,6,0,6,1,9,0,0,1,22,1,pre_exp
Caribbean,Bocas del Toro,Sweet Bocas,AT14-10,.,AT14-10-3,1,0,0,0,11,0,0,0,12,1,pre_exp
