region,date_locality,sample,horizon_cm,depth,depth_up,depth_mid,unique,U_Th_age,age_ci,thickness,calCurve,notes,associated_interval,new,checked,coral_genus
Gulf of Panama,Contadora,BF18-1-11,0-5,5,0,2.5,BF18-1-11-5,2018,1,5,normal,"collection year 2018; changed depth to midpoint, ci to 1, thickness to 5",.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-11,15-Oct,15,10,12.5,BF18-1-11-15,2014.2,1.5,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-11,35-40,40,35,37.5,BF18-1-11-40,1771.3,3.1,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-11,66-71,71,66,68.5,BF18-1-11-71,1744.3,3,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-11,71-76,76,71,73.5,BF18-1-11-76,1741.2,2.6,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-11,86-91,91,86,88.5,BF18-1-11-91,1722.6,3.5,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-11,111-116,116,111,113.5,BF18-1-11-116,565.8,5.8,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-11,131-136,136,131,133.5,BF18-1-11-136,-412.7,10.6,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-11,181-186,186,181,183.5,BF18-1-11-181,-1961.2,11.7,5,normal,,.,yes,x,Poc
Gulf of Panama,Contadora,BF18-1-11,246-251,251,246,248.5,BF18-1-11-251,-2907.6,19,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-11,311-316,316,311,313.5,BF18-1-11-311,-4558.3,14.4,5,normal,age reversal_run spring2023,.,yes,x,Poc
Gulf of Panama,Contadora,BF18-1-11,356-361,361,356,358.5,BF18-1-11-361,-4507.5,23.7,5,normal,,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-12,0-5,5,0,2.5,BF18-1-12-5,2018,1,5,normal,collection year 2018,.,no,x,Poc
Gulf of Panama,Contadora,BF18-1-12,15-Nov,15,11,13,BF18-1-12-15,2003.5,1.4,4,normal,,.,no,x,Poc
