basin,region,site_name,sample,depth,unique,dd_no,dd_unique,func_morph,microstr,crown_sa,frag_base,frag_crown,frag_peaks,surf_alt,discolor,is_frag
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,1,BF18-1-13-210-1,RA,N,319,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,2,BF18-1-13-210-2,DR,Y,364,C,A,A,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,3,BF18-1-13-210-3,DR,Y,382,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,4,BF18-1-13-210-4,A,N,409,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,5,BF18-1-13-210-5,DR,N,473,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,6,BF18-1-13-210-6,DR,Y,321,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,7,BF18-1-13-210-7,UNK,N,286,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,8,BF18-1-13-210-8,DR,N,253,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,9,BF18-1-13-210-9,GF,N,178,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,10,BF18-1-13-210-10,A,Y,247,C,A,A,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,11,BF18-1-13-210-11,RA,N,372,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,12,BF18-1-13-210-12,DR,N,428,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,13,BF18-1-13-210-13,DEFENSE,N,225,C,A,A,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,14,BF18-1-13-210-14,DR,N,250,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,15,BF18-1-13-210-15,RA,N,413,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,16,BF18-1-13-210-16,DR,N,318,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,17,BF18-1-13-210-17,RA,N,401,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,18,BF18-1-13-210-18,DR,N,303,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,19,BF18-1-13-210-19,DR,N,335,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,20,BF18-1-13-210-20,UNK,N,203,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,21,BF18-1-13-210-21,DR,N,.,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,22,BF18-1-13-210-22,DR,N,.,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,23,BF18-1-13-210-23,DR,N,.,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,24,BF18-1-13-210-24,GF,Y,253,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,210,BF18-1-13-210,25,BF18-1-13-210-25,DR,N,.,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,30,BF18-1-13-30,1,BF18-1-13-30-1,DR,N,374,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,30,BF18-1-13-30,2,BF18-1-13-30-2,DR,Y,300,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,30,BF18-1-13-30,3,BF18-1-13-30-3,DR,N,389,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,30,BF18-1-13-30,4,BF18-1-13-30-4,GF,N,343,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,30,BF18-1-13-30,5,BF18-1-13-30-5,A,N,453,C,B,B,B,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,30,BF18-1-13-30,6,BF18-1-13-30-6,DR,N,.,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,30,BF18-1-13-30,7,BF18-1-13-30-7,DR,N,319,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,30,BF18-1-13-30,8,BF18-1-13-30-8,GF,N,314,C,A,A,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,30,BF18-1-13-30,9,BF18-1-13-30-9,RA,Y,403,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,30,BF18-1-13-30,10,BF18-1-13-30-10,DR,N,327,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,30,BF18-1-13-30,11,BF18-1-13-30-11,DR,N,.,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,1,BF18-1-13-280-1,RA,Y,528,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,2,BF18-1-13-280-2,DR,Y,528,A,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,3,BF18-1-13-280-3,DR,N,264,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,4,BF18-1-13-280-4,RA,N,743,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,5,BF18-1-13-280-5,DR,N,.,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,6,BF18-1-13-280-6,DR,N,.,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,7,BF18-1-13-280-7,DR,Y,286,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,8,BF18-1-13-280-8,A,N,243,C,B,B,B,C,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,9,BF18-1-13-280-9,RA,N,551,C,A,B,C,C,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,10,BF18-1-13-280-10,RA,N,333,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,11,BF18-1-13-280-11,A,N,493,C,A,A,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,12,BF18-1-13-280-12,DR,N,452,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,13,BF18-1-13-280-13,DR,N,414,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,14,BF18-1-13-280-14,RA,N,.,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,15,BF18-1-13-280-15,A,N,400,C,A,A,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,16,BF18-1-13-280-16,UNK,N,.,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,17,BF18-1-13-280-17,DR,Y,530,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,18,BF18-1-13-280-18,RA,Y,281,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,19,BF18-1-13-280-19,DR,N,225,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,20,BF18-1-13-280-20,DR,N,.,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,21,BF18-1-13-280-21,UNK,.,.,C,D,B,A,A,Y
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,22,BF18-1-13-280-22,UNK,.,.,C,D,B,A,A,Y
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,23,BF18-1-13-280-23,UNK,.,.,C,D,B,A,A,Y
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,24,BF18-1-13-280-24,DR,N,225,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,25,BF18-1-13-280-25,DR,N,371,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,26,BF18-1-13-280-26,DR,.,.,C,D,B,A,A,Y
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,27,BF18-1-13-280-27,UNK,.,.,C,D,B,B,A,Y
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,28,BF18-1-13-280-28,DR,N,.,C,D,B,A,A,Y
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,29,BF18-1-13-280-29,GF,N,253,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,30,BF18-1-13-280-30,DR,N,.,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,31,BF18-1-13-280-31,DR,N,.,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,32,BF18-1-13-280-32,RA,N,464,C,A,A,A,C,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,33,BF18-1-13-280-33,A,Y,383,B,A,B,B,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,34,BF18-1-13-280-34,RA,N,319,C,A,A,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-13,280,BF18-1-13-280,35,BF18-1-13-280-35,DR,N,349,B,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-11,221,BF18-1-11-221,1,BF18-1-11-221-1,DR,N,287,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-11,221,BF18-1-11-221,2,BF18-1-11-221-2,RA,Y,428,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-11,221,BF18-1-11-221,3,BF18-1-11-221-3,DR,Y,280,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-11,221,BF18-1-11-221,4,BF18-1-11-221-4,DR,Y,259,A,A,A,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-11,221,BF18-1-11-221,5,BF18-1-11-221-5,DR,N,.,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-11,221,BF18-1-11-221,6,BF18-1-11-221-6,DR,N,385,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-11,221,BF18-1-11-221,7,BF18-1-11-221-7,RA,N,471,C,B,B,C,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-11,221,BF18-1-11-221,8,BF18-1-11-221-8,RA,N,468,C,B,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-11,221,BF18-1-11-221,9,BF18-1-11-221-9,DR,N,.,C,C,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-11,221,BF18-1-11-221,10,BF18-1-11-221-10,RA,N,530,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-11,221,BF18-1-11-221,11,BF18-1-11-221-11,DR,Y,.,C,A,B,A,A,N
Pacific,Gulf of Panama,Contadora,BF18-1-11,221,BF18-1-11-221,12,BF18-1-11-221-12,UNK,Y,306,C,B,A,A,A,N
