region,date_locality,unique,sample,depth,depth_upper,depth_lower,thickness,thick.not.5,sampling_unique
Gulf of Panama,Contadora,BF18-1-11-2.5,BF18-1-11,2.5,0,5,5,no,BF18-1-11-5
Gulf of Panama,Contadora,BF18-1-11-7.5,BF18-1-11,7.5,5,10,5,no,BF18-1-11-10
Gulf of Panama,Contadora,BF18-1-11-12.5,BF18-1-11,12.5,10,15,5,no,BF18-1-11-15
Gulf of Panama,Contadora,BF18-1-11-17.5,BF18-1-11,17.5,15,20,5,no,BF18-1-11-20
Gulf of Panama,Contadora,BF18-1-11-22.5,BF18-1-11,22.5,20,25,5,no,BF18-1-11-25
Gulf of Panama,Contadora,BF18-1-11-27.5,BF18-1-11,27.5,25,30,5,no,BF18-1-11-30
Gulf of Panama,Contadora,BF18-1-11-32.5,BF18-1-11,32.5,30,35,5,no,BF18-1-11-35
Gulf of Panama,Contadora,BF18-1-11-37.5,BF18-1-11,37.5,35,40,5,no,BF18-1-11-40
Gulf of Panama,Contadora,BF18-1-11-42.5,BF18-1-11,42.5,40,45,5,no,BF18-1-11-45
Gulf of Panama,Contadora,BF18-1-11-47.5,BF18-1-11,47.5,45,50,5,no,BF18-1-11-50
Gulf of Panama,Contadora,BF18-1-11-52.5,BF18-1-11,52.5,50,55,5,no,BF18-1-11-55
Gulf of Panama,Contadora,BF18-1-11-57.5,BF18-1-11,57.5,55,60,5,no,BF18-1-11-60
Gulf of Panama,Contadora,BF18-1-11-63,BF18-1-11,63,60,66,6,yes,BF18-1-11-66
Gulf of Panama,Contadora,BF18-1-11-68.5,BF18-1-11,68.5,66,71,5,no,BF18-1-11-71
Gulf of Panama,Contadora,BF18-1-11-73.5,BF18-1-11,73.5,71,76,5,no,BF18-1-11-76
Gulf of Panama,Contadora,BF18-1-11-78.5,BF18-1-11,78.5,76,81,5,no,BF18-1-11-81
Gulf of Panama,Contadora,BF18-1-11-83.5,BF18-1-11,83.5,81,86,5,no,BF18-1-11-86
Gulf of Panama,Contadora,BF18-1-11-88.5,BF18-1-11,88.5,86,91,5,no,BF18-1-11-91
Gulf of Panama,Contadora,BF18-1-11-93.5,BF18-1-11,93.5,91,96,5,no,BF18-1-11-96
Gulf of Panama,Contadora,BF18-1-11-98.5,BF18-1-11,98.5,96,101,5,no,BF18-1-11-101
Gulf of Panama,Contadora,BF18-1-11-103.5,BF18-1-11,103.5,101,106,5,no,BF18-1-11-106
Gulf of Panama,Contadora,BF18-1-11-108.5,BF18-1-11,108.5,106,111,5,no,BF18-1-11-111
Gulf of Panama,Contadora,BF18-1-11-113.5,BF18-1-11,113.5,111,116,5,no,BF18-1-11-116
Gulf of Panama,Contadora,BF18-1-11-118.5,BF18-1-11,118.5,116,121,5,no,BF18-1-11-121
Gulf of Panama,Contadora,BF18-1-11-123.5,BF18-1-11,123.5,121,126,5,no,BF18-1-11-126
Gulf of Panama,Contadora,BF18-1-11-128.5,BF18-1-11,128.5,126,131,5,no,BF18-1-11-131
Gulf of Panama,Contadora,BF18-1-11-133.5,BF18-1-11,133.5,131,136,5,no,BF18-1-11-136
Gulf of Panama,Contadora,BF18-1-11-138.5,BF18-1-11,138.5,136,141,5,no,BF18-1-11-141
Gulf of Panama,Contadora,BF18-1-11-143.5,BF18-1-11,143.5,141,146,5,no,BF18-1-11-146
Gulf of Panama,Contadora,BF18-1-11-148.5,BF18-1-11,148.5,146,151,5,no,BF18-1-11-151
Gulf of Panama,Contadora,BF18-1-11-153.5,BF18-1-11,153.5,151,156,5,no,BF18-1-11-156
Gulf of Panama,Contadora,BF18-1-11-158.5,BF18-1-11,158.5,156,161,5,no,BF18-1-11-161
Gulf of Panama,Contadora,BF18-1-11-163.5,BF18-1-11,163.5,161,166,5,no,BF18-1-11-166
Gulf of Panama,Contadora,BF18-1-11-168.5,BF18-1-11,168.5,166,171,5,no,BF18-1-11-171
Gulf of Panama,Contadora,BF18-1-11-173.5,BF18-1-11,173.5,171,176,5,no,BF18-1-11-176
Gulf of Panama,Contadora,BF18-1-11-178.5,BF18-1-11,178.5,176,181,5,no,BF18-1-11-181
Gulf of Panama,Contadora,BF18-1-11-183.5,BF18-1-11,183.5,181,186,5,no,BF18-1-11-186
